Site ,Plot,Location,Cover_1,Cover_2,Cover_3,Cover_4,avg,Can_Cov,
HDS6,1,0,75,60,66,80,70.25,73.06,
HDS6,1,15,66,80,62,24,58.00,60.32,
HDS6,1,30,84,20,84,80,67.00,69.68,
HDS6,2,0,80,72,80,82,78.50,81.64,
HDS6,2,15,84,84,88,88,86.00,89.44,
HDS6,2,30,80,76,90,80,81.50,84.76,
HDS6,3,0,92,92,28,76,72.00,74.88,
HDS6,3,15,80,80,84,84,82.00,85.28,
HDS6,3,30,72,80,50,78,70.00,72.80,
HDS7,1,0,45,60,70,72,61.75,64.22,
HDS7,1,15,38,40,52,50,45.00,46.80,
HDS7,1,30,72,48,30,78,57.00,59.28,
HDS7,2,0,80,80,58,80,74.50,77.48,
HDS7,2,15,72,60,84,64,70.00,72.80,
HDS7,2,30,68,74,68,74,71.00,73.84,
HDS7,3,0,68,16,84,74,60.50,62.92,
HDS7,3,15,70,72,56,80,69.50,72.28,
HDS7,3,30,76,72,50,56,63.50,66.04,
HDS8,1,0,40,38,85,72,58.75,61.10,
HDS8,1,15,64,64,76,75,69.75,72.54,
HDS8,1,30,72,40,76,80,67.00,69.68,
HDS8,2,0,76,72,70,72,72.50,75.40,
HDS8,2,15,72,80,78,55,71.25,74.10,
HDS8,2,30,48,50,50,74,55.50,57.72,
HDS8,3,0,70,88,88,75,80.25,83.46,
HDS8,3,15,88,85,82,90,86.25,89.70,
HDS8,3,30,34,26,56,70,46.50,48.36,
HDS4,1,0,76,50,50,70,61.50,63.96,
HDS4,1,15,80,88,45,74,71.75,74.62,
HDS4,1,30,65,30,20,30,36.25,37.70,
HDS4,2,0,66,80,70,72,72.00,74.88,
HDS4,2,15,28,20,36,50,33.50,34.84,
HDS4,2,30,10,60,60,30,40.00,41.60,
HDS4,3,0,75,50,20,60,51.25,53.30,
HDS4,3,15,70,30,50,50,50.00,52.00,
HDS4,3,30,50,30,40,72,48.00,49.92,
HDS5,1,0,32,22,50,62,41.50,43.16,
HDS5,1,15,72,56,68,44,60.00,62.40,
HDS5,1,30,22,18,32,56,32.00,33.28,
HDS5,2,0,30,40,66,70,51.50,53.56,
HDS5,2,15,50,60,24,70,51.00,53.04,
HDS5,2,30,24,30,24,28,26.50,27.56,
HDS5,3,0,15,15,40,5,18.75,19.50,
HDS5,3,15,72,80,65,70,71.75,74.62,
HDS5,3,30,45,5,30,16,24.00,24.96,
MDF3,1,0,60,31,49,42,45.50,47.32,
MDF3,1,15,22,26,56,37,35.25,36.66,
MDF3,1,30,50,34,10,35,32.25,33.54,
MDF3,2,0,54,13,17,21,26.25,27.30,
MDF3,2,15,52,55,40,24,42.75,44.46,
MDF3,2,30,54,37,50,17,39.50,41.08,
MDF3,3,0,53,56,48,63,55.00,57.20,
MDF3,3,15,46,57,49,63,53.75,55.90,
MDF3,3,30,53,38,52,45,47.00,48.88,
LDF1,1,0,5,3,0,0,2.00,2.08,
LDF1,1,15,0,0,0,0,0.00,0.00,
LDF1,1,30,27,0,0,4,7.75,8.06,
LDF1,2,0,0,1,11,2,3.50,3.64,
LDF1,2,15,0,0,2,14,4.00,4.16,
LDF1,2,30,6,4,17,18,11.25,11.70,
LDF1,3,0,25,0,0,14,9.75,10.14,
LDF1,3,15,11,0,1,0,3.00,3.12,
LDF1,3,30,36,0,10,14,15.00,15.60,
HDF2,1,0,76,78,60,86,75.00,78.00,
HDF2,1,15,80,91,86,54,77.75,80.86,
HDF2,1,30,54,86,91,76,76.75,79.82,
HDF2,2,0,26,48,86,72,58.00,60.32,
HDF2,2,15,0,5,22,52,19.75,20.54,
HDF2,2,30,88,92,62,76,79.50,82.68,
HDF2,3,0,64,64,76,84,72.00,74.88,
HDF2,3,15,88,70,72,80,77.50,80.60,
HDF2,3,30,84,85,79,48,74.00,76.96,
HDR,1,1,66,52,72,64,63.50,66.04,
HDR,1,5,36,60,68,64,57.00,59.28,
HDR,1,10,56,80,75,64,68.75,71.50,
HDR,1,15,71,75,88,89,80.75,83.98,
HDR,1,20,80,88,60,71,74.75,77.74,
HDR,2,1,61,49,25,40,43.75,45.50,
HDR,2,5,38,28,40,33,34.75,36.14,
HDR,2,10,62,29,68,16,43.75,45.50,
HDR,2,15,84,4,20,63,42.75,44.46,
HDR,2,20,70,60,78,70,69.50,72.28,
HDR,3,1,70,35,70,70,61.25,63.70,
HDR,3,5,44,32,43,79,49.50,51.48,
HDR,3,10,71,90,75,68,76.00,79.04,
HDR,3,15,88,66,88,14,64.00,66.56,
HDR,3,20,85,96,95,86,90.50,94.12,
HBR,1,0,90,97,93,98,94.50,98.28,
HBR,1,5,98,89,88,89,91.00,94.64,
HBR,1,10,99,83,84,78,86.00,89.44,
HBR,1,15,100,92,91,88,92.75,96.46,
HBR,1,20,96,97,98,97,97.00,100.88,
HBR,2,0,99,92,98,98,96.75,100.62,
HBR,2,5,91,88,91,97,91.75,95.42,
HBR,2,10,95,93,95,90,93.25,96.98,
HBR,2,15,98,97,88,98,95.25,99.06,
HBR,2,20,99,99,98,99,98.75,102.70,
HBR,3,0,84,79,85,93,85.25,88.66,
HBR,3,5,89,82,90,93,88.50,92.04,
HBR,3,10,84,86,82,82,83.50,86.84,
HBR,3,15,84,86,78,80,82.00,85.28,
HBR,3,20,72,75,86,90,80.75,83.98,
LDF2,1,0,2,2,69,0,18.25,18.98,
LDF2,1,15,36,2,7,4,12.25,12.74,
LDF2,1,30,3,0,13,2,4.50,4.68,
LDF2,2,0,26,30,3,31,22.50,23.40,
LDF2,2,15,14,1,1,3,4.75,4.94,
LDF2,2,30,1,10,0,6,4.25,4.42,
LDF2,3,0,58,0,0,5,15.75,16.38,
LDF2,3,15,16,6,1,10,8.25,8.58,
LDF2,3,30,6,31,61,13,27.75,28.86,
LDF3,1,0,0,0,0,0,0.00,0.00,
LDF3,1,15,0,3,10,22,8.75,9.10,
LDF3,1,30,0,1,0,0,0.25,0.26,
LDF3,2,0,2,4,16,25,11.75,12.22,
LDF3,2,15,5,0,0,2,1.75,1.82,
LDF3,2,30,4,0,0,0,1.00,1.04,
LDF3,3,0,67,8,0,0,18.75,19.50,
LDF3,3,15,3,20,27,2,13.00,13.52,
LDF3,3,30,47,8,95,7,39.25,40.82,
LBR,1,0,51,44,10,11,29.00,30.16,
LBR,1,15,18,21,48,64,37.75,39.26,
LBR,1,30,55,51,49,52,51.75,53.82,
LBR,2,0,2,76,15,8,25.25,26.26,
LBR,2,15,17,5,18,18,14.50,15.08,
LBR,2,30,19,12,58,44,33.25,34.58,
LBR,3,0,27,9,19,15,17.50,18.20,
LBR,3,15,25,3,13,54,23.75,24.70,
LBR,3,30,14,2,50,0,16.50,17.16,
MDF1,1,0,8,83,6,13,27.50,28.60,
MDF1,1,15,7,4,1,12,6.00,6.24,
MDF1,1,30,2,31,7,42,20.50,21.32,
MDF1,2,0,47,44,11,0,25.50,26.52,
MDF1,2,15,25,40,24,39,32.00,33.28,
MDF1,2,30,16,0,66,12,23.50,24.44,
MDF1,3,0,9,30,63,13,28.75,29.90,
MDF1,3,15,44,42,37,16,34.75,36.14,
MDF1,3,30,71,21,36,52,45.00,46.80,
MDF4,1,0,17,22,34,16,22.25,23.14,
MDF4,1,15,7,60,37,25,32.25,33.54,
MDF4,1,30,41,57,19,48,41.25,42.90,
MDF4,2,0,45,13,42,8,27.00,28.08,
MDF4,2,15,7,72,39,62,45.00,46.80,
MDF4,2,30,39,31,29,43,35.50,36.92,
MDF4,3,0,50,8,3,21,20.50,21.32,
MDF4,3,15,52,41,22,17,33.00,34.32,
MDF4,3,30,38,50,35,18,35.25,36.66,
HDF1,1,0,39,52,49,46,46.50,48.36,
HDF1,1,15,43,64,52,57,54.00,56.16,
HDF1,1,30,40,66,70,62,59.50,61.88,
HDF1,2,0,63,63,72,65,65.75,68.38,
HDF1,2,15,53,67,68,58,61.50,63.96,
HDF1,2,30,55,72,61,51,59.75,62.14,
HDF1,3,0,42,41,70,56,52.25,54.34,
HDF1,3,15,38,52,63,21,43.50,45.24,
HDF1,3,30,45,13,14,37,27.25,28.34,
MDF2,1,0,12,26,32,16,21.50,22.36,
MDF2,1,15,62,41,42,33,44.50,46.28,
MDF2,1,30,27,63,51,40,45.25,47.06,
MDF2,2,0,22,25,26,37,27.50,28.60,
MDF2,2,15,53,66,55,22,49.00,50.96,
MDF2,2,30,13,20,13,48,23.50,24.44,
MDF2,3,0,2,5,58,15,20.00,20.80,
MDF2,3,15,11,34,28,58,32.75,34.06,
MDF2,3,30,22,21,36,14,23.25,24.18,
DAV,1,0,86,94,66,61,76.75,79.82,
DAV,1,15,68,68,71,81,72.00,74.88,
DAV,1,30,63,54,68,70,63.75,66.30,
DAV,2,0,80,64,44,64,63.00,65.52,
DAV,2,15,53,34,69,76,58.00,60.32,
DAV,2,30,87,74,70,70,75.25,78.26,
DAV,3,0,73,50,83,64,67.50,70.20,
DAV,3,15,63,71,44,63,60.25,62.66,
DAV,3,30,80,91,81,68,80.00,83.20,
HDS1,1,0,75,54,64,40,58.25,60.58,
HDS1,1,15,68,72,64,40,61.00,63.44,
HDS1,1,30,76,80,80,64,75.00,78.00,
HDS1,2,0,64,40,32,28,41.00,42.64,
HDS1,2,15,60,35,64,44,50.75,52.78,
HDS1,2,30,75,68,72,70,71.25,74.10,
HDS1,3,0,50,70,64,49,58.25,60.58,
HDS1,3,15,52,44,60,44,50.00,52.00,
HDS1,3,30,36,48,64,48,49.00,50.96,
HDS2,1,0,84,88,88,90,87.50,91.00,
HDS2,1,15,60,60,84,68,68.00,70.72,
HDS2,1,30,78,74,80,88,80.00,83.20,
HDS2,2,0,64,64,60,56,61.00,63.44,
HDS2,2,15,88,76,68,80,78.00,81.12,
HDS2,2,30,56,72,32,81,60.25,62.66,
HDS2,3,0,68,68,76,76,72.00,74.88,
HDS2,3,15,72,84,76,72,76.00,79.04,
HDS2,3,30,60,72,72,76,70.00,72.80,
LDS1,1,0,72,60,52,52,59.00,61.36,
LDS1,1,15,52,60,60,40,53.00,55.12,
LDS1,1,30,24,28,72,52,44.00,45.76,
LDS1,2,0,4,12,44,4,16.00,16.64,
LDS1,2,15,20,64,80,76,60.00,62.40,
LDS1,2,30,8,52,76,32,42.00,43.68,
LDS1,3,0,5,12,16,50,20.75,21.58,
LDS1,3,15,60,8,12,76,39.00,40.56,
LDS1,3,30,6,52,52,56,41.50,43.16,
LDS2,1,0,12,40,32,48,33.00,34.32,
LDS2,1,15,24,88,16,16,36.00,37.44,
LDS2,1,30,48,32,4,64,37.00,38.48,
LDS2,2,0,12,36,84,64,49.00,50.96,
LDS2,2,15,32,28,72,60,48.00,49.92,
LDS2,2,30,48,26,64,52,47.50,49.40,
LDS2,3,0,40,18,8,50,29.00,30.16,
LDS2,3,15,48,65,8,4,31.25,32.50,
LDS2,3,30,68,60,24,16,42.00,43.68,
LDS3,1,0,0,5,5,10,5.00,5.20,
LDS3,1,15,0,0,5,0,1.25,1.30,
LDS3,1,30,0,0,0,0,0.00,0.00,
LDS3,2,0,25,25,20,10,20.00,20.80,
LDS3,2,15,0,0,10,0,2.50,2.60,
LDS3,2,30,25,15,15,25,20.00,20.80,
LDS3,3,0,5,10,8,0,5.75,5.98,
LDS3,3,15,0,0,0,10,2.50,2.60,
LDS3,3,30,5,10,15,20,12.50,13.00,
MDS1,1,0,80,72,68,68,72.00,74.88,
MDS1,1,15,76,52,76,84,72.00,74.88,
MDS1,1,30,20,74,52,36,45.50,47.32,
MDS1,2,0,52,36,56,80,56.00,58.24,
MDS1,2,15,64,88,92,50,73.50,76.44,
MDS1,2,30,76,84,92,68,80.00,83.20,
MDS1,3,0,84,15,28,24,37.75,39.26,
MDS1,3,15,36,88,68,70,65.50,68.12,
MDS1,3,30,76,74,74,78,75.50,78.52,
MDS2,1,0,20,10,10,20,15.00,15.60,
MDS2,1,15,35,20,15,25,23.75,24.70,
MDS2,1,30,50,15,60,45,42.50,44.20,
MDS2,2,0,55,60,60,65,60.00,62.40,
MDS2,2,15,50,74,70,55,62.25,64.74,
MDS2,2,30,20,55,55,50,45.00,46.80,
MDS2,3,0,50,55,45,60,52.50,54.60,
MDS2,3,15,10,5,5,10,7.50,7.80,
MDS2,3,30,30,10,20,15,18.75,19.50,
